Frequency (Hz)	no_defect 	defect 
43.066406	-57.64341	-59.699001
86.132812	-69.255959	-69.752777
129.199219	-69.413849	-71.34935
172.265625	-68.149704	-71.02755
215.332031	-66.578133	-70.94136
258.398438	-64.643143	-70.370697
301.464844	-62.542328	-70.836624
344.53125	-63.937115	-71.279823
387.597656	-68.589905	-71.502953
430.664062	-72.53231	-71.68856
473.730469	-65.263306	-72.197083
516.796875	-63.485035	-73.113861
559.863281	-68.409592	-75.03981
602.929688	-76.928574	-76.541122
645.996094	-79.95443	-78.300972
689.0625	-78.307289	-79.318329
732.128906	-77.147346	-78.380074
775.195312	-77.148865	-78.391945
818.261719	-76.549179	-77.292755
861.328125	-76.970657	-76.203125
904.394531	-75.308395	-73.879539
947.460938	-58.065708	-60.918304
990.527344	-51.574318	-50.145645
1033.59375	-57.003696	-52.02742
1076.660156	-80.222733	-69.250076
1119.726562	-81.680519	-76.932495
1162.792969	-81.164581	-80.068802
1205.859375	-79.243927	-82.19735
1248.925781	-78.461571	-82.605507
1291.992188	-74.101875	-81.134689
1335.058594	-68.066948	-76.177727
1378.125	-59.435787	-67.898109
1421.191406	-46.545261	-54.948723
1464.257812	-22.269348	-30.644415
1507.324219	-18.397068	-26.77166
1550.390625	-26.73259	-35.107433
1593.457031	-52.00259	-60.235977
1636.523438	-62.385471	-70.081566
1679.589844	-70.015526	-76.811523
1722.65625	-74.024353	-79.129051
1765.722656	-79.171379	-81.204048
1808.789062	-80.272926	-80.956543
1851.855469	-84.567787	-82.267242
1894.921875	-87.026405	-80.920853
1937.988281	-85.013016	-72.558418
1981.054688	-80.185692	-55.750694
2024.121094	-84.55867	-53.737747
2067.1875	-89.880592	-64.213501
2110.253906	-88.64315	-79.643509
2153.320312	-88.325157	-82.734116
2196.386719	-86.277481	-83.323708
2239.453125	-85.644936	-84.063583
2282.519531	-82.733597	-84.711296
2325.585938	-82.891449	-85.851479
2368.652344	-84.177429	-87.546806
2411.71875	-83.862602	-87.236465
2454.785156	-79.067757	-86.432289
2497.851562	-75.384834	-84.812592
2540.917969	-81.681099	-86.558701
2583.984375	-86.539177	-88.211357
2627.050781	-85.611061	-85.938576
2670.117188	-83.423805	-81.760117
2713.183594	-80.535156	-82.357391
2756.25	-77.651016	-84.649422
2799.316406	-72.26651	-84.038651
2842.382812	-67.077126	-82.054451
2885.449219	-57.722332	-76.601471
2928.515625	-43.346714	-67.692261
2971.582031	-25.698307	-50.151848
3014.648438	-23.861914	-44.407581
3057.714844	-34.842281	-50.178146
3100.78125	-53.766129	-69.244347
3143.847656	-62.836483	-71.797409
3186.914062	-71.39093	-74.695511
3229.980469	-75.752792	-77.880898
3273.046875	-80.014282	-78.762123
3316.113281	-82.106323	-78.947708
3359.179688	-83.103722	-79.25061
3402.246094	-80.580177	-79.395538
3445.3125	-77.773247	-80.686325
3488.378906	-71.942535	-79.418549
3531.445312	-73.259125	-80.231804
3574.511719	-76.161499	-86.020737
3617.578125	-74.301041	-89.020798
3660.644531	-79.28167	-89.869751
3703.710938	-81.682411	-88.247795
3746.777344	-82.524017	-85.082794
3789.84375	-82.907509	-85.411301
3832.910156	-84.412384	-84.67878
3875.976562	-85.174278	-81.873756
3919.042969	-79.224899	-80.842003
3962.109375	-72.301643	-72.083961
4005.175781	-75.972534	-61.992508
4048.242188	-88.714867	-63.670189
4091.308594	-90.776375	-76.681618
4134.375	-91.55687	-81.12587
4177.441406	-92.646729	-85.336555
4220.507812	-92.428154	-87.614479
4263.574219	-92.628494	-90.477051
4306.640625	-92.537659	-90.760315
4349.707031	-90.891464	-89.424782
4392.773438	-87.248596	-86.573212
4435.839844	-74.087898	-83.935501
4478.90625	-60.571896	-78.97834
4521.972656	-60.708515	-77.532227
4565.039062	-74.484993	-78.645348
4608.105469	-81.890068	-80.26062
4651.171875	-88.055771	-82.105888
4694.238281	-91.928276	-83.478058
4737.304688	-91.196548	-85.404778
4780.371094	-89.225906	-86.368538
4823.4375	-89.05677	-88.01902
4866.503906	-90.152634	-88.807884
4909.570312	-89.646561	-88.653336
4952.636719	-84.959816	-85.332375
4995.703125	-85.823677	-77.456169
5038.769531	-89.752121	-75.862442
5081.835938	-90.283768	-83.794075
5124.902344	-88.989342	-85.456993
5167.96875	-87.545303	-83.342873
5211.035156	-87.153648	-83.692543
5254.101562	-87.355988	-82.999626
5297.167969	-87.293915	-79.61158
5340.234375	-86.383469	-77.551041
5383.300781	-85.8106	-77.689552
5426.367188	-85.806137	-77.694244
5469.433594	-80.456932	-77.774948
5512.5	-80.404266	-79.524277
5555.566406	-88.136078	-79.941673
5598.632812	-90.186646	-81.784515
5641.699219	-91.149918	-82.840431
5684.765625	-92.350716	-83.601677
5727.832031	-92.558716	-79.861298
5770.898438	-91.608589	-75.716309
5813.964844	-90.50663	-75.717033
5857.03125	-91.091644	-74.500084
5900.097656	-88.673752	-76.242378
5943.164062	-70.78083	-77.787613
5986.230469	-60.251656	-77.085838
6029.296875	-62.357365	-77.957291
6072.363281	-79.952271	-82.13353
6115.429688	-86.266434	-82.563896
6158.496094	-87.817085	-79.158012
6201.5625	-89.46698	-79.046501
6244.628906	-90.112862	-80.428734
6287.695312	-90.221512	-79.416924
6330.761719	-91.478439	-76.763863
6373.828125	-92.208893	-75.707924
6416.894531	-92.505363	-77.542404
6459.960938	-92.558533	-79.010201
6503.027344	-92.550423	-82.368309
6546.09375	-93.233246	-85.43763
6589.160156	-93.677704	-87.547699
6632.226562	-93.401878	-89.651268
6675.292969	-93.558609	-90.100662
6718.359375	-93.287292	-90.859406
6761.425781	-92.827217	-91.868538
6804.492188	-93.226494	-92.15815
6847.558594	-93.012207	-92.82737
6890.625	-92.63681	-93.046074
6933.691406	-91.491699	-92.955147
6976.757812	-91.801826	-92.659035
7019.824219	-92.639168	-92.030991
